State,Population,Density
AL,4903185,95
AK,731545,1
AZ,7278717,60
AR,3017804,57
CA,39512223,251
CO,5758736,52
CT,3565287,741
DE,973764,485
FL,21477737,378
GA,10617423,177
HI,1415872,222
ID,1787065,20
IL,12671821,231
IN,6732219,184
IA,3155070,55
KS,2913314,36
KY,4467673,112
LA,4648794,108
ME,1344212,43
MD,6045680,618
MA,6892503,871
MI,9986857,175
MN,5639632,68
MS,2976149,63
MO,6137428,88
MT,1068778,7
NE,1934408,24
NV,3080156,26
NH,1359711,148
NJ,8882190,1218
NM,2096829,17
NY,19453561,420
NC,10488084,206
ND,762062,10
OH,11689100,284
OK,3956971,57
OR,4217737,41
PA,12801989,286
RI,1059361,1021
SC,5148714,162
SD,884659,11
TN,6829174,160
TX,28995881,105
UT,3205958,36
VA,623989,67
VT,8535519,212
WA,7614893,107
WV,1792147,76
WI,5822434,106
WY,578759,6
DC,705749,11011
